NCES ID,State,School District (Portal Name),acfrs_original_name,Year,Net Pension Liability,Net Pension Asset,NPL less NPA,States Proportionate Share of Net Pension liability,Overall Liability (Asset) Associated with District Staff,Comments,Employer name in GASB 68/ACFR,
5500300,WI,School District of Amery,School District Of Amery,2020,,"2,280,607","-2,280,607",,"-2,280,607",,,
1903540,IA,Ames Community School District,Ames Community School District,2020,"26,131,070",,"26,131,070",,"26,131,070",,,
3602920,NY,Amherst Central School District,Amherst Central School District,2020,"4,136,610","3,677,812","458,798",,"458,798",,,
3904519,OH,Amherst Exempted Village School District,Amherst Exempted Village School District,2020,"40,553,867",,"40,553,867",,"40,553,867",,,
4808160,TX,Amherst Independent School District,Amherst Independent School District,2020,"561,220",,"561,220","895,860","1,457,080",,,
3100070,NE,Amherst Public Schools District No. 119,Amherst Public Schools District No. 119,2020,,,0,,0,,,
2800420,MS,Amite County School District,Amite County School District,2020,"18,407,009",,"18,407,009",,"18,407,009",,,
4101230,OR,Amity School District No. 4J,Amity School District No. 4J,2020,"3,869,260",,"3,869,260",,"3,869,260",,,
3602940,NY,Amityville Union Free School District,Amityville Union Free School District,2020,"4,983,778","5,154,584","-170,806",,"-170,806",,,
400680,AZ,Amphitheater Unified School District No. 10,Amphitheater Unified School District No. 10,2020,"97,812,921",,"97,812,921",,"97,812,921",,,
5300150,WA,Anacortes School District No. 103,Anacortes School District No. 103,2020,"12,357,024",,"12,357,024",,"12,357,024",,,
4003000,OK,Anadarko School District No. I-20,Anadarko School District No. I-20,2020,,,0,,0,,,
602610,CA,Anaheim Elementary School District,Anaheim Elementary School District,2020,"228,290,256",,"228,290,256","86,567,810","314,858,066",,,
602630,CA,Anaheim Union High School District,Anaheim Union High School District,2020,"384,173,652",,"384,173,652","137,361,468","521,535,120",,,
4808190,TX,Anahuac Independent School District,Anahuac Independent School District,2020,"2,257,356",,"2,257,356","6,157,624","8,414,980",,,
1903570,IA,Anamosa Community School District,Anamosa Community School District,2020,"6,938,585",,"6,938,585",,"6,938,585",,,
2602790,MI,Anchor Bay School District,Anchor Bay School District,2020,"124,030,886",,"124,030,886",,"124,030,886",,,
200180,AK,Anchorage School District,Anchorage School District,2020,"436,189,898",,"436,189,898","453,092,294","889,282,192",,,
100060,AL,Andalusia City Board of Education,Andalusia City Board Of Education,2020,"14,219,000",,"14,219,000",,"14,219,000",,,
4003010,OK,Anderson School District C-52,Anderson School District C-52,2020,,,0,,0,,,
4500840,SC,Anderson County School District 3,Anderson County School District 3,2020,"31,591,501",,"31,591,501",,"31,591,501",,,
4500870,SC,Anderson County School District 4,Anderson County School District 4,2020,"37,059,310",,"37,059,310",,"37,059,310",,,
2100120,KY,Anderson County Board of Education,Anderson County Board Of Education,2020,"11,497,059",,"11,497,059","62,010,256","73,507,315",,,
602700,CA,Anderson Union High School District,Anderson Union High School District,2020,"18,638,921",,"18,638,921","6,898,333","25,537,254",,,
602730,CA,Anderson Valley Unified School District,Anderson Valley Unified School District,2020,"6,799,250",,"6,799,250","1,976,177","8,775,427",,,
